,Age,Gender,Degree of Edu,Income,Health Condition,Outdoor Activity Engaged,Outdoor Activity Eliminated(Days),Air Index (Activity Reduced),Air Index(Activity Eliminated)
1221,44,Male,Associates degree,"$100,000 or more",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1222,36,Female,Associates degree,"$25,000 or less",Excellent,Daily,2,Maroon – Hazardous,Maroon – Hazardous
1223,44,Male,College,"$100,000 or more",Fair,Daily,1,Purple – Very Unhealthy,Purple – Very Unhealthy
1224,40,Male,Associates degree,"$100,000 or more",Excellent,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1225,48,Female,Associates degree,"$100,000 or more",Excellent,Once per week,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1226,49,Male,Associates degree,"$100,000 or more",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1227,34,Female,College,"Upto to $99,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
1228,65,Female,College,"Upto to $99,999",Good,Daily,2,Red – Unhealthy,Red – Unhealthy
1229,19,Male,8th grade or less,No Response,Good,No Response,1,No Response,Red – Unhealthy
1230,35,Male,College,"Upto to $49,999",Good,Once per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1231,44,Female,College,"Upto to $99,999",Excellent,Common,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1232,33,Male,Associates degree,"Upto to $74,999",Good,Common,1,Not familiar,Not familiar
1233,28,Male,College,"Upto to $49,999",Fair,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1234,45,Male,Associates degree,"Upto to $74,999",Good,Once per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1235,21,Female,High school,"$100,000 or more",Excellent,Daily,1,Not familiar,Not familiar
1236,48,Female,High school,"Upto to $49,999",Good,Daily,1,Maroon – Hazardous,Maroon – Hazardous
1237,42,Female,College,"$100,000 or more",Good,A few times per week,3,Red – Unhealthy,Red – Unhealthy
1238,49,Male,Associates degree,"$100,000 or more",Excellent,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
1240,22,Male,High school graduate,"$25,000 or less",Good,Daily,3,Not familiar,Not familiar
1241,19,Female,8th grade or less,"$100,000 or more",Excellent,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
1242,22,Female,High school,"Upto to $49,999",Good,Daily,1,Red – Unhealthy,Red – Unhealthy
1243,67,Male,Associates degree,"Upto to $99,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1244,69,Male,Associates degree,"Upto to $49,999",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1245,33,Female,High school,"Upto to $49,999",Good,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
1246,19,Female,8th grade or less,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Maroon – Hazardous
1247,37,Male,College,"Upto to $99,999",Good,Daily,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1248,39,Male,College,"Upto to $74,999",Fair,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1249,26,Male,High school,"Upto to $49,999",Fair,No Response,2,Not familiar,Not familiar
1250,44,Female,Associates degree,"Upto to $74,999",Good,Common,2,Red – Unhealthy,Purple – Very Unhealthy
1251,53,Male,Associates degree,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1252,54,Male,College,"Upto to $49,999",Good,Common,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1253,18,Female,8th grade or less,"Upto to $74,999",Excellent,Once per week,2,Red – Unhealthy,Maroon – Hazardous
1254,37,Male,College,"Upto to $49,999",Fair,Once per week,6,Red – Unhealthy,Purple – Very Unhealthy
1255,67,Female,High school graduate,"Upto to $49,999",Excellent,No Response,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1256,30,Male,College,"Upto to $74,999",Excellent,Daily,2,Red – Unhealthy,Maroon – Hazardous
1257,20,Male,8th grade or less,"$25,000 or less",Good,Common,1,Purple – Very Unhealthy,Purple – Very Unhealthy
1258,65,Male,College,"Upto to $74,999",Fair,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1259,21,Male,High school,"$25,000 or less",Good,A few times per week,6,Red – Unhealthy,Red – Unhealthy
1260,38,Female,Associates degree,"$100,000 or more",Excellent,No Response,1,Purple – Very Unhealthy,Maroon – Hazardous
1261,25,Male,College,"Upto to $49,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
1262,51,Male,College,"Upto to $49,999",Good,No Response,1,Red – Unhealthy,Red – Unhealthy
1263,29,Female,High school,"$25,000 or less",Good,Daily,4,Red – Unhealthy,Red – Unhealthy
1264,21,Male,High school,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1265,21,Male,8th grade or less,"Upto to $49,999",Good,Daily,2,Red – Unhealthy,Red – Unhealthy
1266,21,Male,High school,"Upto to $74,999",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1267,19,Male,8th grade or less,"Upto to $74,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1268,22,Male,High school,No Response,Excellent,No Response,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1269,18,Male,8th grade or less,"Upto to $99,999",Excellent,Once per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1270,26,Female,High school,"$25,000 or less",Excellent,Daily,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1271,22,Male,High school,"Upto to $49,999",Good,No Response,2,Red – Unhealthy,Purple – Very Unhealthy
1272,21,Female,High school,"$100,000 or more",Good,Daily,1,Not familiar,Not familiar
1273,34,Male,Associates degree,"$25,000 or less",Excellent,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
1274,49,Female,High school graduate,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
1275,18,Male,8th grade or less,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
1276,56,Male,High school,"Upto to $99,999",Good,A few times per week,4,Red – Unhealthy,Red – Unhealthy
1277,48,Male,College,No Response,Good,A few times per week,2,Red – Unhealthy,Red – Unhealthy
1278,20,Male,High school,"$25,000 or less",Excellent,A few times per week,1,Not familiar,Not familiar
1279,21,Male,8th grade or less,"Upto to $49,999",Poor,Once per week,6,Yellow – Moderate,Yellow – Moderate
1280,50,Female,Associates degree,"$100,000 or more",Good,Daily,1,Red – Unhealthy,Red – Unhealthy
1281,25,Male,High school,"Upto to $49,999",Good,A few times per week,6,Red – Unhealthy,Red – Unhealthy
1282,21,Male,High school,"Upto to $74,999",Fair,No Response,2,Purple – Very Unhealthy,Maroon – Hazardous
1283,22,Male,High school,"$25,000 or less",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1284,18,Male,8th grade or less,"$100,000 or more",Excellent,Daily,1,Maroon – Hazardous,Maroon – Hazardous
1285,34,Female,8th grade or less,"$100,000 or more",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1286,24,Female,High school,"$100,000 or more",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1287,30,Female,High school,"$25,000 or less",Good,Daily,3,Not familiar,Not familiar
1288,60,Female,High school graduate,"Upto to $74,999",Excellent,No Response,3,Red – Unhealthy,Purple – Very Unhealthy
1289,51,Male,College,"$100,000 or more",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1290,27,Female,High school graduate,"Upto to $74,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1291,22,Male,High school,"$100,000 or more",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1292,69,Male,High school,"Upto to $74,999",Good,No Response,1,Not familiar,Not familiar
1293,19,Female,8th grade or less,"$100,000 or more",Good,Common,1,Red – Unhealthy,Purple – Very Unhealthy
1294,19,Female,8th grade or less,"$25,000 or less",Excellent,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
1295,62,Female,High school,"$25,000 or less",Good,A few times per week,1,Red – Unhealthy,Red – Unhealthy
1296,62,Female,College,"Upto to $99,999",Fair,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1297,54,Female,High school graduate,"Upto to $49,999",Excellent,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
1298,47,Male,College,"Upto to $99,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1299,30,Male,High school,"Upto to $74,999",Good,A few times per week,5,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1300,48,Male,College,"Upto to $99,999",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1301,58,Male,College,"Upto to $49,999",Good,A few times per week,4,Red – Unhealthy,Red – Unhealthy
1302,38,Male,College,"$25,000 or less",Good,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
1303,47,Male,College,"Upto to $99,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
1304,44,Female,College,"Upto to $49,999",Excellent,A few times per week,1,Not familiar,Not familiar
1305,65,Male,Associates degree,"$100,000 or more",Excellent,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1306,58,Male,College,"Upto to $49,999",Good,No Response,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1307,53,Male,College,"$25,000 or less",Fair,A few times per week,3,Red – Unhealthy,Red – Unhealthy
1308,48,Male,College,"$100,000 or more",Excellent,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
1309,50,Male,College,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate
1310,50,Male,College,"Upto to $74,999",Excellent,Once per week,2,Red – Unhealthy,Red – Unhealthy
1311,74,Male,College,"Upto to $74,999",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1312,48,Female,College,"$100,000 or more",Good,A few times per week,1,Red – Unhealthy,Red – Unhealthy
1313,57,Male,College,"Upto to $99,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1314,32,Female,High school,"$25,000 or less",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1315,31,Others,College,"$25,000 or less",Fair,001100,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1316,63,Female,Associates degree,"Upto to $99,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1317,40,Male,College,"$100,000 or more",Good,Daily,3,Red – Unhealthy,Red – Unhealthy
1318,28,Male,College,"Upto to $49,999",Fair,No Response,1,Not familiar,Not familiar
1319,65,Female,College,"$100,000 or more",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1320,19,Male,8th grade or less,"Upto to $74,999",Good,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1321,38,Male,College,"Upto to $74,999",Good,A few times per week,5,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1322,41,Female,College,"$100,000 or more",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1323,30,Female,High school graduate,"Upto to $99,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1324,19,Female,High school,"Upto to $49,999",Excellent,Once per week,1,Purple – Very Unhealthy,Purple – Very Unhealthy
1325,28,Female,High school,"$25,000 or less",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1326,22,Male,High school,"Upto to $99,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1327,30,Male,College,"Upto to $49,999",Fair,No Response,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1328,43,Female,College,"$100,000 or more",Good,A few times per week,1,Not familiar,Not familiar
1329,32,Male,College,"Upto to $74,999",Excellent,Daily,4,Red – Unhealthy,Purple – Very Unhealthy
1330,48,Male,Associates degree,"Upto to $49,999",Fair,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1331,54,Male,Associates degree,No Response,0000,No Response,No Response,No Response,No Response
1332,23,Male,High school,"Upto to $49,999",Good,A few times per week,2,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
1333,59,Male,College,"Upto to $99,999",Good,Daily,No Response,No Response,No Response
1334,19,Male,8th grade or less,"$100,000 or more",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1335,54,Male,College,"Upto to $99,999",Excellent,A few times per week,No Response,No Response,No Response
1336,19,Female,8th grade or less,"$100,000 or more",Excellent,A few times per week,6,Not familiar,Not familiar
1337,18,Male,8th grade or less,"$100,000 or more",Excellent,Common,2,Red – Unhealthy,Red – Unhealthy
1338,20,Male,High school,"Upto to $99,999",0000,No Response,No Response,No Response,No Response
1339,20,Male,High school,"Upto to $99,999",0000,No Response,No Response,No Response,No Response
1340,20,Male,High school,"Upto to $99,999",0000,No Response,No Response,No Response,No Response
1341,22,Female,High school,"$100,000 or more",0000,No Response,No Response,No Response,No Response
1342,18,Male,8th grade or less,"Upto to $74,999",0000,No Response,No Response,No Response,No Response
1343,18,Male,8th grade or less,"$100,000 or more",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1344,36,Male,Associates degree,"$100,000 or more",Good,A few times per week,5,Purple – Very Unhealthy,Maroon – Hazardous
1345,18,Male,8th grade or less,"$100,000 or more",Good,Once per week,No Response,No Response,No Response
1346,18,Female,8th grade or less,"$100,000 or more",0000,No Response,No Response,No Response,No Response
1347,22,Male,High school,"Upto to $74,999",Fair,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1348,38,Male,College,"Upto to $49,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1349,40,Male,Associates degree,"Upto to $74,999",0000,No Response,No Response,No Response,No Response
1350,20,Female,High school,"$25,000 or less",Good,A few times per week,1,Red – Unhealthy,Red – Unhealthy
1351,28,Female,High school graduate,"$25,000 or less",Excellent,A few times per week,No Response,No Response,No Response
1352,48,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Maroon – Hazardous
1353,30,Male,College,"Upto to $99,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate
1354,38,Female,Associates degree,"Upto to $49,999",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1355,21,Male,High school,"$100,000 or more",0000,No Response,No Response,No Response,No Response
1356,21,Female,High school,"$25,000 or less",Excellent,No Response,No Response,No Response,No Response
1357,50,Male,Associates degree,"Upto to $99,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1358,29,Male,College,"Upto to $99,999",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1359,31,Male,College,"Upto to $74,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1360,21,Male,High school,"$100,000 or more",Fair,Common,2,Red – Unhealthy,Purple – Very Unhealthy
1361,50,Male,Associates degree,"Upto to $74,999",Fair,A few times per week,6,Yellow – Moderate,Red – Unhealthy
1362,35,Female,Associates degree,"Upto to $99,999",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1363,61,Male,College,"Upto to $49,999",Good,A few times per week,1,Red – Unhealthy,Red – Unhealthy
1364,19,Male,8th grade or less,"Upto to $99,999",Good,Once per week,5,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
1365,19,Male,High school,"$100,000 or more",Good,Common,No Response,No Response,No Response
1366,61,Male,College,"Upto to $99,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1367,64,Male,College,"$100,000 or more",Fair,A few times per week,3,Red – Unhealthy,Red – Unhealthy
1368,67,Female,High school graduate,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
1369,20,Male,8th grade or less,"Upto to $74,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
1370,18,Female,8th grade or less,"Upto to $74,999",Good,No Response,1,Not familiar,Not familiar
1371,38,Male,Associates degree,"$100,000 or more",Excellent,Daily,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1372,20,Male,High school,"$25,000 or less",Excellent,Daily,No Response,No Response,No Response
1373,44,Male,Associates degree,"Upto to $99,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1374,58,Female,College,"Upto to $74,999",Good,Common,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1375,20,Female,High school,"$25,000 or less",Good,Daily,No Response,No Response,No Response
1376,53,Male,College,"$100,000 or more",Excellent,A few times per week,No Response,No Response,No Response
1377,25,Female,High school,"$100,000 or more",Fair,No Response,No Response,No Response,No Response
1378,26,Male,College,"Upto to $74,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1379,62,Male,High school,"Upto to $74,999",Good,No Response,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1380,52,Male,College,"Upto to $74,999",Good,Once per week,1,Not familiar,Not familiar
1381,52,Female,College,"Upto to $74,999",Excellent,Daily,2,Purple – Very Unhealthy,Purple – Very Unhealthy
1382,45,Female,Associates degree,"$100,000 or more",Excellent,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
1383,53,Male,College,"Upto to $49,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1384,52,Male,College,"Upto to $49,999",Excellent,Daily,3,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
1385,37,Male,Associates degree,"Upto to $99,999",Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1386,43,Male,High school graduate,"Upto to $99,999",Good,Daily,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1387,21,Male,High school,"$25,000 or less",Excellent,Daily,No Response,No Response,No Response
1388,28,Male,College,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1389,34,Male,High school,"$100,000 or more",Excellent,Once per week,5,Purple – Very Unhealthy,Purple – Very Unhealthy
1390,39,Male,College,"$100,000 or more",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1391,30,Female,College,"Upto to $99,999",0000,No Response,No Response,No Response,No Response
1392,41,Male,High school graduate,"Upto to $99,999",Fair,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1393,26,Male,High school,"Upto to $74,999",Good,No Response,2,Red – Unhealthy,Red – Unhealthy
1394,42,Male,Associates degree,"Upto to $74,999",Excellent,A few times per week,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1395,26,Female,8th grade or less,"Upto to $49,999",Excellent,No Response,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1396,20,Female,High school,"Upto to $49,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
1397,21,Male,High school,"Upto to $99,999",Good,Once per week,No Response,No Response,No Response
1398,38,Male,High school,"$25,000 or less",Fair,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1399,26,Female,Associates degree,"$25,000 or less",Good,No Response,1,Maroon – Hazardous,Maroon – Hazardous
1400,18,Female,8th grade or less,"$100,000 or more",Good,Daily,2,Purple – Very Unhealthy,Purple – Very Unhealthy
1401,23,Others,High school,"Upto to $49,999",Fair,001100,2,Red – Unhealthy,Maroon – Hazardous
1402,38,Female,Associates degree,"Upto to $99,999",Excellent,Daily,2,Red – Unhealthy,Red – Unhealthy
1403,28,Female,High school graduate,"$25,000 or less",Good,A few times per week,6,Not familiar,Not familiar
1404,22,Male,High school,"Upto to $74,999",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1405,30,Male,Associates degree,"$100,000 or more",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1406,34,Male,College,No Response,Excellent,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
1407,32,Male,College,"$100,000 or more",Good,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1408,59,Male,College,"Upto to $49,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1409,45,Male,College,"$100,000 or more",Good,Once per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1410,61,Male,College,"Upto to $99,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1411,21,Male,High school,"Upto to $74,999",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1412,18,Male,8th grade or less,"$25,000 or less",Fair,No Response,3,Red – Unhealthy,Purple – Very Unhealthy
1413,40,Female,College,"$100,000 or more",Good,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
1414,21,Male,High school,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1415,36,Male,High school,"$25,000 or less",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1416,46,Male,College,"Upto to $74,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1417,30,Male,College,"Upto to $49,999",Good,Once per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1418,54,Female,College,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
1419,46,Male,College,"Upto to $49,999",Good,Daily,1,Purple – Very Unhealthy,Purple – Very Unhealthy
1420,37,Male,College,"Upto to $74,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1421,50,Female,Associates degree,"$100,000 or more",Excellent,Daily,4,Purple – Very Unhealthy,Maroon – Hazardous
1422,28,Female,College,"Upto to $49,999",Excellent,Daily,1,Purple – Very Unhealthy,Purple – Very Unhealthy
1423,42,Female,Associates degree,"$100,000 or more",Good,Common,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1424,50,Male,College,"Upto to $99,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1425,22,Male,College,"$25,000 or less",Good,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
1426,51,Female,College,"Upto to $74,999",Excellent,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
1427,57,Female,College,"Upto to $74,999",Good,A few times per week,1,Red – Unhealthy,Maroon – Hazardous
1428,27,Male,High school graduate,"Upto to $99,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1429,24,Female,College,"Upto to $49,999",Excellent,Common,1,Red – Unhealthy,Red – Unhealthy
1430,38,Male,College,"Upto to $99,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1431,58,Female,Associates degree,"Upto to $99,999",Excellent,A few times per week,1,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1432,21,Male,High school,"Upto to $99,999",Excellent,Once per week,1,Purple – Very Unhealthy,Red – Unhealthy
1433,21,Male,High school,"Upto to $99,999",Good,A few times per week,3,Red – Unhealthy,Maroon – Hazardous
1434,21,Female,High school,"$25,000 or less",Excellent,A few times per week,2,Red – Unhealthy,Maroon – Hazardous
1435,24,Male,High school,"$25,000 or less",Good,No Response,2,Purple – Very Unhealthy,Maroon – Hazardous
1436,61,Male,College,"Upto to $49,999",Excellent,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
1437,23,Male,College,"Upto to $74,999",Excellent,Once per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1438,32,Male,College,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
1439,46,Female,Associates degree,"Upto to $74,999",Good,Daily,3,Red – Unhealthy,Purple – Very Unhealthy
1440,54,Female,Associates degree,"Upto to $74,999",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
1441,37,Male,College,"Upto to $99,999",Excellent,No Response,4,Red – Unhealthy,Red – Unhealthy
1442,55,Female,College,"$25,000 or less",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
1443,23,Male,High school graduate,"$25,000 or less",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1444,35,Female,College,"Upto to $99,999",Good,Daily,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1445,43,Male,College,"$100,000 or more",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Maroon – Hazardous
1446,43,Female,College,"$100,000 or more",Excellent,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
1447,59,Male,High school graduate,"Upto to $49,999",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1448,64,Male,College,"$100,000 or more",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1449,40,Female,College,"Upto to $74,999",Excellent,Daily,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1450,45,Female,Associates degree,"$100,000 or more",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1451,58,Male,Associates degree,"Upto to $74,999",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
1452,43,Female,Associates degree,"Upto to $74,999",Good,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1453,55,Male,College,"Upto to $99,999",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
1454,54,Female,College,"Upto to $99,999",Excellent,A few times per week,3,Red – Unhealthy,Maroon – Hazardous
1455,28,Female,College,"Upto to $49,999",Good,A few times per week,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1456,70,Female,College,"$100,000 or more",Good,No Response,1,Red – Unhealthy,Maroon – Hazardous
1457,33,Male,College,"Upto to $49,999",Excellent,Once per week,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1458,54,Male,Associates degree,"$100,000 or more",Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1459,60,Female,College,"$100,000 or more",Good,No Response,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1460,27,Female,High school graduate,"$25,000 or less",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1461,20,Male,High school,"$25,000 or less",Excellent,A few times per week,2,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
1462,56,Male,College,"$100,000 or more",Excellent,A few times per week,2,Purple – Very Unhealthy,Purple – Very Unhealthy
1463,78,Female,Associates degree,"Upto to $49,999",Good,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1464,18,Male,8th grade or less,"$100,000 or more",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1465,44,Male,College,"Upto to $49,999",Fair,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
